variable,unit,test,control,diff
OCNFRAC,fraction,0.668,0.664,0.004
SST,K,292.739,292.099,0.64
TS,K,288.191,287.351,0.84
SWCF,W/m2,-45.041,-47.473,2.432
LWCF,W/m2,24.112,24.61,-0.498
PRECT,m/s,3.52e-08,3.49e-08,3e-10
TAUX,N/m2,-0.00637,-0.00605,-0.00032
TAUY,N/m2,-0.00198,-0.00189,-9e-05
TGCLDLWP,kg/m2,0.0485,0.0515,-0.003
